episode,player,event
1,Jelinsky,eliminated
2,Jess,eliminated
3,Randen,eliminated
4,Bhanu,eliminated
5,Jem,eliminated
6,Moriah,eliminated
7,Tim,eliminated
7,Soda,eliminated
8,Tevin,eliminated
9,Hunter,eliminated
10,Tiffany,eliminated
7,Kenzie,immunity
7,Maria,immunity
8,Hunter,immunity
9,Charlie,immunity
10,Charlie,immunity
11,Maria,immunity
11,Venus,eliminated
12,Maria,immunity
12,Q,eliminated
13,Liz,eliminated
13,Maria,eliminated
13,Ben,final_tribal
13,Kenzie,final_tribal
13,Kenzie,immunity
13,Charlie,final_tribal
